"year","date","party_s","party_rv","party_k","party_cd","party_nb","party_rfb","party_krp","party_sf","party_g","party_h","party_la","party_sap","party_kd","party_dkp","party_ml","party_lc","party_m","party_min","party_ff","party_df","party_sk","party_fk","party_p","party_fg","party_kap","party_ds","party_sp","party_u","party_demf","party_v","party_vs","party_fp","party_dd","party_el","party_alt","independents","total"
1953,"1953-09-22",74,14,30,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,42,NA,NA,NA,NA,NA,0,175
1957,"1957-05-14",70,14,30,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,45,NA,NA,NA,NA,NA,0,175
1960,"1960-11-15",76,11,32,NA,NA,0,NA,11,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,38,NA,NA,NA,NA,NA,0,175
1964,"1964-09-22",76,10,36,NA,NA,0,NA,10,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,5,NA,38,NA,NA,NA,NA,NA,0,175
1966,"1966-11-22",69,13,34,NA,NA,0,NA,20,NA,NA,NA,NA,NA,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,35,NA,NA,NA,NA,NA,0,175
1968,"1968-01-23",62,27,37,NA,NA,0,NA,11,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,34,4,NA,NA,NA,NA,0,175
1971,"1971-09-21",70,27,31,NA,NA,0,NA,17,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,30,0,NA,NA,NA,NA,0,175
1973,"1973-12-04",46,20,16,14,NA,5,NA,11,NA,NA,NA,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,0,28,NA,NA,NA,0,175
1975,"1975-01-09",53,13,10,4,NA,0,NA,9,NA,NA,NA,NA,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,4,24,NA,NA,NA,0,175
1977,"1977-02-15",65,6,15,11,NA,6,NA,7,NA,NA,NA,NA,6,7,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21,5,26,NA,NA,NA,0,175
1979,"1979-10-23",68,10,22,6,NA,5,NA,11,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,22,6,20,NA,NA,NA,0,175
1981,"1981-12-08",59,9,26,15,NA,0,NA,21,NA,NA,NA,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,20,5,16,NA,NA,NA,0,175
1984,"1984-01-10",56,10,42,8,NA,0,NA,21,NA,NA,NA,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,5,6,NA,NA,NA,0,175
1987,"1987-09-08",54,11,38,9,NA,0,NA,27,0,0,NA,0,4,0,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,19,0,9,NA,NA,NA,0,175
1988,"1988-05-10",55,10,35,9,NA,NA,NA,24,0,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,22,0,16,NA,NA,NA,0,175
1990,"1990-12-12",69,7,30,9,NA,0,NA,15,0,0,NA,NA,4,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,NA,12,NA,0,NA,0,175
1994,"1994-09-21",62,8,27,5,NA,NA,NA,13,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,11,NA,6,NA,1,175
1998,"1998-03-11",63,7,16,8,NA,NA,NA,13,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,0,42,NA,4,NA,5,NA,0,175
2001,"2001-11-20",52,9,16,0,NA,NA,NA,12,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,NA,0,NA,4,NA,0,175
2005,"2005-02-08",47,17,18,0,NA,NA,NA,11,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA,NA,NA,6,NA,0,175
2007,"2007-11-13",45,9,18,NA,NA,NA,NA,23,NA,NA,5,NA,0,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,4,NA,0,175
2011,"2011-09-15",44,17,8,NA,NA,NA,NA,16,NA,NA,9,NA,0,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,NA,NA,NA,12,NA,0,175
2015,"2015-06-18",47,8,6,NA,NA,NA,NA,7,NA,NA,13,NA,0,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,14,9,0,175
2019,"2019-06-05",48,16,12,NA,4,NA,0,14,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,16,0,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,13,5,0,175
2022,"2022-11-01",50,7,10,NA,6,NA,NA,15,NA,NA,14,NA,0,NA,NA,NA,16,NA,NA,5,NA,NA,NA,0,NA,NA,NA,NA,NA,23,NA,NA,14,9,6,0,175
